name,Boiling-Point,Melting-Point,Density,Dissociation Constants,Flash-Point
IDORIE_clean,,,,,
TIQGIK_clean,,,,,
HOGSIG_clean,,,,,
MEJZUY_clean,,,,,
REYPIW_clean,,,,,
AWARIZ_clean,260.0,0.0,0.0,,170.0
FONPUV_clean,,,,,
HOQNEI_clean,0.0,427.0,0.0,0.0,260.0
LADQOZ_clean,,,,,
YUNJIB_clean,,,,,
PUZLAZ_clean,,359.0,,,
ZEGSUB_clean,,,,,
TAFPOG_clean,0.0,174.65740740740742,0.0,0.0,
VAGTAA_clean,,,,,
OXALEF_clean,,,,,
WOYJID_clean,277.51851851851853,42.21333333333333,0.0,0.0,
NANMEW_clean,,252.0,,,
ARUDAU_clean,,,,,
JIVSEN_clean,0.0,0.0,0.0,0.0,167.83333333333331
TEQVAO_manual,,,,,
UVOTOQ_clean,,,,,
EKOPUQ_clean,,,,,
FEFDEB_manual,174.0,158.5,0.0,0.0,62.0
ILOSOS_clean,,,,,
FURREQ_clean,,,,,
BAXLOD_clean,,,,,
PIJJEZ_clean,,,,,
FAMHAE_clean,,,,,
JUKNUA_clean,277.51851851851853,42.21333333333333,0.0,0.0,
MAPCUE_clean,,,,,
GAJZOI_clean,,,,,
XAFFAN_clean,,,,,
SABYAY_clean,,,,,
WAQFIG_clean,,,,,
UVASAM_clean,,,,,
HAZGOF04_clean_h,0.0,427.0,0.0,0.0,260.0
LABGAY_clean,,,,,
KONFEA_clean,,,,,
MAXHUQ_clean,,,,,
SAYTUJ_clean,25.632916666666667,-13.578055555555554,0.0,0.0,-17.809523809523807
KOKKOL_clean,,,,,
DEYXIQ_clean,,,,,
YUDFOU_clean,,,,,
OWIJAH_clean,,,,,
KOSKIO_clean,,,,,
ONUQOE_clean,,288.5,,,
VAXTEV_clean,,,,,
LAZJIH_clean,,276.0,,0.0,
LUMYOJ_clean,,,,,
WUSLED_clean,,,,,
FIRNAX_clean,,,,,
YICDAR_clean,,,,,
HUMWIX_clean,,,,,
LADQIT_clean,,,,,
UKUTEB_clean,,,,,
BUKRUW01_clean,,,,,
WIZDEP_clean,,,,,
YOBYEV_clean,,,,,
KOXGIP_clean,,,,,
ZEKRIS_clean,,,,,
IBICIH_clean,,,,,
KOJZIT_clean,,,,,
KIKFIV_clean,,,,,
KUGCOF_clean,45.0,62.21111111111111,0.0,,
XAJQAC_SL,,,,,
ATOGEV_clean,,,,,
MUFYAP_clean,,,,,
ZEDROR_clean,,,,,
VAYWEZ_clean,,,,,
MATFIY_clean,,,,,
BUCVIG_clean,0.0,346.3333333333333,0.0,0.0,
WAQQUB_clean,,,,,
BAKLIK_clean,,,,,
VASFAZ_clean,,,,,
WOBHEB01_clean,,,,,
