name,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,0ASA_m2_cm3,0ASA_m2_g,AV_VF,AV_cm3_g,0AV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites,FSR_overlap
AVIMUO_clean,5.70679,3.6399,5.68672,1.24095,795.076,640.701,0.0545715,0.0439757,0.4934,0.397599,0,Mn,1,Mn,1
AVIPAX_clean,7.26399,5.25081,7.26386,0.96381,1855.66,1925.33,0,0,0.5882,0.610286,0,Mg,1,Mg,1
AVITUU_clean,11.69294,6.93274,11.69294,0.710904,1782.6,2507.52,25.4741,35.8333,0.6994,0.983817,0,Cu,0," ",1
AVIVAC_clean,11.84006,7.39815,11.84006,0.73653,1721.91,2337.87,62.4247,84.7552,0.713,0.968053,0,Ag,1,Ag,1
AVIVEG_clean,11.84801,7.36492,11.84801,0.733043,1723.96,2351.79,66.007,90.0452,0.716,0.97675,0,Ag,1,Ag,1
AVIVIK_clean,11.79938,6.70311,11.79938,0.734288,1705.89,2323.19,141.576,192.807,0.7142,0.972643,0,Ag,1,Ag,1
AVIVOQ_clean,11.94166,7.13512,11.94166,0.709142,1885.38,2658.68,0,0,0.7218,1.01785,0,Ag,1,Ag,1
AVIVUW_clean,12.04076,6.91892,12.04076,0.729779,1690.09,2315.89,127.81,175.136,0.7162,0.981393,0,Ag,1,Ag,1
AVUCEA_clean,10.64181,4.52481,5.22943,0.89363,2280.68,2552.15,0,0,0.6776,0.758256,0,Co,1,Co,1
AVUDAX_clean,5.88567,3.71625,5.47513,0.998153,1603.89,1606.86,0,0,0.5746,0.575663,0,Cu,1,Cu,1
AVUHIJ_clean,3.85535,2.975,3.77304,1.36097,0,0,86.1445,63.2966,0.4122,0.302873,0,Co,1,Co,1
AWAGOV_clean,8.03493,4.40002,8.02722,1.14872,740.321,644.475,67.7082,58.9423,0.4848,0.422035,0,0i,1,0i,1
AWAHEM_clean,7.6574,4.85724,7.65488,2.1582,1774.85,822.374,0,0,0.6144,0.284682,0,"Mn,U",1,"Mn,U",1
AWAJIT_clean,5.17601,2.96369,5.14098,1.35864,0,0,482.657,355.251,0.4418,0.325179,0,Zn,1,Zn,1
AWAKEQ_clean,5.66517,3.68033,5.65855,1.19573,631.039,527.745,0,0,0.5032,0.420832,0,Cd,1,Cd,1
AWAREV_clean,4.9083,4.51433,4.9083,1.8749,727.007,387.757,0,0,0.456,0.243213,0,Zn,0," ",1
AWASAU_clean,4.69319,4.39635,4.67513,2.36864,953.131,402.396,0,0,0.479,0.202226,0,"Pr,Cu",1,"Pr,Cu",1
AWASE1_clean,12.05091,7.26209,12.03698,1.15771,1906.22,1646.54,0,0,0.7186,0.620707,0,"Pr,Cu,K",1,"Pr,Cu,K",1
AWAWUR_clean,9.42427,4.27216,9.42427,0.982453,1582.3,1610.56,0,0,0.6066,0.617434,0,Co,1,Co,1
AWEGEP_clean,6.08144,3.63724,6.07038,2.1577,1410.66,653.78,0,0,0.573,0.265561,0,"Cs,U",1,"Cs,U",1
AWEJES_clean,9.0974,7.20812,9.09543,1.24068,1280.7,1032.26,0,0,0.562,0.452979,0,Zn,1,Zn,1
AWEJIW_clean,10.88001,10.50387,10.88001,1.19375,1315.8,1102.24,0,0,0.6004,0.502953,0,Cd,1,Cd,1
AWE0AT_clean,8.40904,7.88535,8.40638,0.999021,1775.9,1777.64,0,0,0.607,0.607595,0,Cu,1,Cu,1
AWEVIJ_clean,10.6197,8.65931,10.61387,0.747212,1607.37,2151.16,0,0,0.6408,0.857588,0,Zn,1,Zn,1
AWEWOP_clean,9.66818,6.8565,9.66161,1.11027,1532.43,1380.24,0,0,0.5908,0.532125,0,Cu,1,Cu,1
AWEXOR_clean,6.82031,5.9875,6.8128,1.17466,1068.45,909.584,0,0,0.5078,0.432297,0,Zn,1,Zn,1
