name,mass,mass_per_metal,metal_3p_energy,oxygen_count,nitrogen_count,carbon_count,metal_3d_energy,metal_4s_energy,metal_7s_energy,metal_5f_energy,outer_shell_1,covalent_radius_1,thermal_conductivity_1,electron_affinity_1,3rd_most_stable_oxidation_state_1,outer_shell_2,lattice_param_2_2,period_2,electron_affinity_2
TAZLUD_clean,224.4514,224.4514,-21.637522,4.0,0.0,4.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
GULWIU_clean,944.2333,236.058325,-21.637522,0.0,20.0,9.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
FOVPOX_clean,252.4648,252.4648,-21.637522,4.0,2.0,4.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
GAQYIH_clean,212.4886,212.4886,-21.637522,0.0,2.0,6.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
OKIPUU_clean,260.4868,260.4868,-21.637522,3.0,2.0,6.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
TETZID_clean,552.9724,276.4862,-21.637522,8.0,4.0,12.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
CODSUL_clean,276.4862,276.4862,-21.637522,4.0,2.0,6.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
LUMDEC_clean,260.4868,260.4868,-21.637522,3.0,2.0,6.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
VAXTEV_clean,228.44010000000003,228.44010000000003,-21.637522,5.0,0.0,3.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
TONLOY_clean,733.4622,244.4874,-21.637522,6.0,6.0,18.0,-14.685252,-3.596069,,,2.0,1.48,0.968,,,2.0,,5.0,
