name,Temp
XOVQAB_clean,256.0119707
BAZFUF_clean,256.2288804
QEYWUN_clean,256.3293782
SAJDIT_clean,256.7870865
PIBGAK_clean,256.8074996
PEVZAT_clean,256.9869049
HUWDEJ_clean,257.4130361
COTYIV_clean,257.4442864
LIKGUJ_clean,257.5410941
DAXHIV01_clean,257.6282597
VAXTEV_clean,257.7682157
ICAQOU_clean,258.2844373
IBICAZ_clean,258.3897578
BASSOF_clean,258.4995324
MUJRIT_clean,258.9033581
BIQHEQ_clean,259.0479937
PIZSAU_clean,259.5718452
CIVTEH_clean,260.2968144
ZOZPUB_clean,260.6474971
ZIKCED_clean,260.657662
LARXUA_clean,260.6989155
YOVXEO_clean,261.0870318
ZARVIZ_clean,261.2401822
ERIWAF_clean,261.2982067
IBUBAL_clean,261.4853784
MUZRIJ_clean,261.7276796
GAJYUN_clean,261.850287
DUYVEA_clean,262.0955213
WOGHEG_clean,262.1121155
CAVSUP_clean,262.301383
ASOVEL_clean,262.4345751
REYPIW_clean,262.7382894
TIXMIX_clean,262.830746
BAXGAK_clean,263.6600639
YAZZEG_clean,263.759818
POSFIO_clean,264.1719626
GUJREK_clean,264.4831525
YUKVIK_clean,264.7058824
NIRDEX_clean,264.7910449
LOCZIO_clean,264.8817622
KUGCOF_clean,264.9019242
KADLUZ_clean,265.2292161
IGUCIY_clean,265.6751565
OVIDON_clean,265.69577
PEWLUA_clean,266.0382628
NATHUO_clean,266.0607727
LUJBAV_clean,266.2357359
OCUNAE_clean,266.3079724
YUKVEG_clean,266.4242239
HAPGIR_clean,266.8586827
AXUDII04_clean,267.3327596
MASZOX_clean,267.3560422
VERZEZ_clean,267.3707594
VEJHID_clean,267.545719
CUCTAX_clean,267.5559436
QADVUN_clean,267.6611534
TEYHIP_charged,267.6740686
RIXBIK_clean,267.6910336
EJOQOL_clean,267.8166667
EGAFUP_clean,267.9988576
DITXOU_clean,268.0902498
KEBFII_clean,268.1025417
VIWLEU_clean,268.2317936
DUBBEI_clean,268.7076948
SEJBAL_clean,269.3180509
POSGAH_clean,269.4444444
QIVYUR_clean,269.7791148
RAVVIU01_clean,270.0235558
RAVVIU_clean,270.0235558
OXAMIK_clean,270.5016909
